LIFETIME,DIET
48.5,R/R50    
48.29999924,R/R50    
48.29999924,R/R50    
48.09999847,R/R50    
47.70000076,R/R50    
47,R/R50    
46.79999924,R/R50    
46.79999924,R/R50    
46.79999924,R/R50    
46.20000076,R/R50    
46.20000076,R/R50    
45.09999847,R/R50    
45,R/R50    
45,R/R50    
44.29999924,R/R50    
43.59999847,R/R50    
43.09999847,R/R50    
42.29999924,R/R50    
42.90000153,R/R50    
42.70000076,R/R50    
42.40000153,R/R50    
42,R/R50    
41.79999924,R/R50    
41.59999847,R/R50    
40.59999847,R/R50    
40.40000153,R/R50    
39.90000153,R/R50    
39.5,R/R50    
39.20000076,R/R50    
39,R/R50    
38.5,R/R50    
38.20000076,R/R50    
38,R/R50    
36.20000076,R/R50    
36.29999924,R/R50    
35.79999924,R/R50    
34,R/R50    
33.40000153,R/R50    
32.20000076,R/R50    
30.60000038,R/R50    
27.5,R/R50    
26.29999924,R/R50    
24.20000076,R/R50    
54.59999847,N/R40    
54,N/R40    
53.79999924,N/R40    
53.29999924,N/R40    
52.90000153,N/R40    
52.70000076,N/R40    
52.5,N/R40    
52.40000153,N/R40    
52,N/R40    
51.79999924,N/R40    
51.29999924,N/R40    
51.29999924,N/R40    
51,N/R40    
50.79999924,N/R40    
50.29999924,N/R40    
50.09999847,N/R40    
49.79999924,N/R40    
48.70000076,N/R40    
48.29999924,N/R40    
48.09999847,N/R40    
47.59999847,N/R40    
47.59999847,N/R40    
47.59999847,N/R40    
47.5,N/R40    
47.5,N/R40    
47.5,N/R40    
50.5,N/R40    
47.5,N/R40    
46.40000153,N/R40    
45.29999924,N/R40    
45.70000076,N/R40    
44.20000076,N/R40    
43.79999924,N/R40    
43.79999924,N/R40    
43.70000076,N/R40    
43.59999847,N/R40    
43.59999847,N/R40    
43.29999924,N/R40    
43.20000076,N/R40    
43.09999847,N/R40    
42.70000076,N/R40    
42.70000076,N/R40    
42.5,N/R40    
42.29999924,N/R40    
42.20000076,N/R40    
42.20000076,N/R40    
41.59999847,N/R40    
40.79999924,N/R40    
40.29999924,N/R40    
40,N/R40    
38.90000153,N/R40    
37.20000076,N/R40    
36.70000076,N/R40    
36.59999847,N/R40    
36.09999847,N/R40    
33.90000153,N/R40    
31,N/R40    
29.39999962,N/R40    
19.60000038,N/R40    
47.59999847,N/R40    
